hip,x0,y0,z0,spect
506.0,402.585,10.645,539.843,A2
508.0,175.594,4.652,149.593,G5
507.0,64.469,1.708,-623.883,K3 III
509.0,72.551,1.927,-44.378,G3 V
510.0,85.53,2.29,14.648,F5
511.0,299.269,8.012,0.634,K1 III
512.0,199.514,5.356,-111.322,B9 V
513.0,12.88,0.348,349.628,K0
514.0,205.799,5.565,-89.682,F2 V
515.0,157.09,4.264,-5.178,F6/7 V
516.0,893.41,24.318,-576.338,M1 III
517.0,101.592,2.774,-147.866,F5 IV/V
518.0,11.238,0.307,18.3,G 5 V
519.0,103.089,2.826,-213.715,F3 IV
520.0,448.626,12.301,-85.437,M3/4 III
521.0,268.202,7.387,-5.799,K1 III
523.0,6.836,0.189,-15.245,M4
522.0,17.144,0.473,-19.782,F7 V
524.0,121.394,3.355,-25.851,F6/7 V
525.0,88.302,2.442,76.515,K0
526.0,98.735,2.731,174.277,F0
527.0,134.05,3.713,342.823,K2
529.0,129.09,3.615,-42.056,F2 IV
530.0,78.251,2.197,72.37,G1V
531.0,127.715,3.591,264.25,B9III
532.0,75.541,2.126,-270.685,F6 V
533.0,489.738,13.79,-147.337,G8 III
534.0,569.467,16.053,-754.175,K1/2 (III)
536.0,651.165,18.439,333.21,M3
537.0,158.897,4.523,-62.621,F2 V
539.0,116.899,3.35,112.078,F8
540.0,201.484,5.797,109.685,G9III
541.0,92.977,2.676,-101.811,F6 V
542.0,126.201,3.634,190.853,A0
544.0,12.033,0.347,6.678,K0V
545.0,306.552,8.886,204.177,K0
546.0,213.184,6.185,-155.435,G8 III
547.0,133.234,3.873,-61.084,F7 V
548.0,237.995,6.926,660.226,K0
550.0,505.824,14.785,759.483,B9
553.0,118.301,3.489,-45.65,G2/3 V
554.0,85.016,2.513,-20.811,G0
555.0,162.62,4.81,28.889,F8
556.0,94.149,2.787,-7.165,F7/8 V
557.0,219.375,6.495,95.401,F 4 IV WLS
558.0,259.139,7.677,-735.754,K5P BA
559.0,1037.021,30.775,1023.55,F5
560.0,36.537,1.09,-15.597,F2 IV
562.0,298.856,8.927,112.143,G5
563.0,235.363,7.032,142.214,K0
565.0,151.747,4.552,4.933,F6 V
566.0,351.431,10.542,409.947,K0
567.0,282.959,8.507,-228.24,K0 III
568.0,232.053,6.978,-333.545,K3 III
569.0,52.382,1.577,-3.321,G1 V
572.0,274.577,8.312,216.19,G5
573.0,183.467,5.556,-177.161,G8 III
574.0,229.601,7.007,-195.593,F3 IV/V
576.0,428.862,13.093,590.008,B8
577.0,48.855,1.495,31.585,G5
578.0,141.6,4.347,59.681,F0
579.0,584.331,17.956,54.109,M3 III
580.0,170.666,5.247,-58.196,F5
581.0,140.095,4.323,16.901,A5
582.0,155.274,4.806,297.062,A 0 V
583.0,13.223,0.41,164.599,A3
584.0,92.187,2.868,-26.186,F5 V
585.0,203.505,6.333,-120.226,A1 V
587.0,144.658,4.507,-112.787,F3 V
588.0,167.132,5.208,44.254,F2
589.0,55.355,1.728,178.637,A3
590.0,731.491,22.891,509.668,M5
591.0,184.518,5.785,196.293,K0
593.0,200.165,6.299,21.771,A3
594.0,108.137,3.404,-187.928,A9 V
596.0,19.244,0.607,-81.644,F2 V
597.0,49.843,1.573,165.279,F2
598.0,561.428,17.745,210.637,K0
599.0,43.086,1.365,-38.664,F8/G0 V
600.0,252.083,8.007,-130.721,K1 III
601.0,59.795,1.906,22.923,G5
